CATEGORIA,NOME CARDAPIO,NOME PDV,CÓD PDV,PREÇO VENDA CHEIO,DESCRICAO ITEM CARDAPIO
AUTORAIS CHAPA ROTI,Frango Crispy Cream,ARABE-FGO CRISPY CREAM ,15204,34.9,"Filé de frango empanado, cream cheese e cebola crispy, alface americana, no pão árabe."
AUTORAIS CHAPA ROTI,Calabresa Cheddar Crispy,ARABE-CALB CHEDDAR CRISPY,15206,32.9,"Fatias de linguiça calabresa na chapa, cheddar derretido, cebola crispy, alface e tomate, no pão árabe."
AUTORAIS CHAPA ROTI,Frango Croc Bacon,ARABE-FGO CROC BACON,15202,34.9,"Filé de frango empanado, mussarela derretida, fatias de bacon crocante, alface e tomate."
AUTORAIS CHAPA ROTI,Carne de sol Cearense,ARABE-C DE SOL CEARENSE,15201,34.9,"Carne de sol desfiada na chapa, queijo coalho ralado, cebola crispy, alface e tomate, no pão árabe."
TRADICIONAIS CHAPA ROTI,Salad Frango,ARABE-SALAD FRANGO,15187,29.9,"Frango desfiado na chapa, alface, tomate e milho, no pão árabe."
TRADICIONAIS CHAPA ROTI,Salad Calabresa,ARABE-CALABRSA SALADA,15197,29.9,"Fatias de linguiça calabresa na chapa, alface, tomate e milho, no pão árabe."
TRADICIONAIS CHAPA ROTI,Cheese Calabresa,ARABE-CHEESE CALABRESA,15195,29.9,"Fatias de linguiça calabresa na chapa, mussarela derretida, alface, tomate e milho, no pão árabe."
TRADICIONAIS CHAPA ROTI,Salad Burger,ARABE-BOVINO SALADA,15194,30.9,"2 burgers bovinos de 40g cada, alface, tomate e milho, no pão árabe."
TRADICIONAIS CHAPA ROTI,Cheese Frango,ARABE-CHEESE FRANGO,15188,30.9,"Frango desfiado na chapa, mussarela derretida, alface, tomate e milho, no pão árabe."
TRADICIONAIS CHAPA ROTI,Cream Frango,ARABE-FGO CREAM CHEESE,15189,32.9,"Frango desfiado na chapa, cream cheese, alface, tomate e milho, no pão árabe."
TRADICIONAIS CHAPA ROTI,Cream Calabresa,ARABE-CALABRSA CREAM CHEESE,15198,32.9,"Fatias de linguiça calabresa na chapa, cream cheese, alface, tomate e milho, no pão árabe."
TRADICIONAIS CHAPA ROTI,Cheese Burguer,ARABE-BOVINO CHEESEBURGER,15192,32.9,"2 burgers bovinos de 40g cada, mussarela derretida, alface, tomate e milho, no pão árabe."
TRADICIONAIS CHAPA ROTI,Bacon Frango,ARABE-FGO BACON,15190,34.9,"Frango desfiado na chapa, fatias de bacon crocante, mussarela derretida, alface, tomate e milho, no pão árabe."
TRADICIONAIS CHAPA ROTI,Bacon Burger,ARABE-BOVINO CHEESEBACON,15193,36.9,"2 burgers bovinos de 40g cada, fatias de bacon crocante, mussarela derretida, alface, tomate e milho, no pão árabe."
TRADICIONAIS CHAPA ROTI,Bauru,ARABE-BAURU,15191,36.9,"2 burgers bovinos de 40g cada, mussarela derretida, presunto, ovo frito, alface, tomate e milho, no pão árabe."
VEGETARIANOS CHAPA ROTI,Salad Lentilha,ARABE-LENTILHA SALADA,15210,29.9,"2 burgers de lentilha assados, alface, tomate e milho, no pão árabe."
VEGETARIANOS CHAPA ROTI,Cheese Lentilha,ARABE-CHEESE LENTILHA,15209,29.9,"2 burgers de lentilha assados, mussarela derretida, alface, tomate e milho, no pão árabe."
VEGETARIANOS CHAPA ROTI,Egg Lentilha,ARABE-EGG LENTILHA,15211,29.9,"2 burgers de lentilha assados, mussarela derretida, ovo frito, alface, tomate e milho, no pão árabe."
